Appelation;Mise_sous;Commentaire (X=à ignorer);Nb;First;Last;Mea_Sp;Mea_Su;Mea_Au;Mea_Wi
Cyclotella;X;;2;15/11/2011;05/12/2011;NA;NA;200;200
Cylindrotheca;Cylindrotheca closterium + Nitzschia longissima;;12;23/02/2010;02/12/2019;260;NA;5194;927
Cylindrotheca closterium;Cylindrotheca closterium + Nitzschia longissima;;209;30/06/1988;28/08/2019;2492.21;5622.72;4539.93;924.57
Cylindrotheca closterium + Nitzschia longissima;;;212;01/02/2017;30/12/2019;1660.94;7782.19;1394.92;1578.18
Dactyliosolen;Dactyliosolen fragilissimus;;24;03/07/1989;05/08/2019;450;800;133.33;NA
Dactyliosolen fragilissimus;;;763;10/07/1987;04/12/2019;55641.83;37854.88;2315.44;635.71
Delphineis;Rhaphoneis + Delphineis;;44;13/11/2008;04/11/2019;6199.5;10266.12;15868;5676.73
Detonula;;;51;25/04/1989;05/08/2019;6280;2922.22;5744.44;480
Dictyocha;;;639;05/08/1987;28/10/2019;302.58;323.35;437.83;313.77
Dictyocha fibula;Dictyocha;;1;05/04/2018;05/04/2018;100;NA;NA;NA
Dictyocha speculum;Dictyocha;;121;24/10/2002;17/12/2019;823.12;1041.51;488.89;616.32
Dictyochales;Dictyocha;;1;20/08/2009;20/08/2009;NA;200;NA;NA
Dinobryon;;;44;02/05/2006;17/07/2019;1071.43;7224.68;166.67;233.33
Dinoflagellata;Dinophyceae;;102;19/05/1993;04/02/2014;415.79;5635.95;1078.12;170
Dinophyceae;;;115;17/02/2014;18/11/2019;791.43;3480.65;253.12;147.62
Dinophysis;;;385;09/01/1996;16/09/2019;9.26;7087.43;813.93;3.64
Dinophysis + phalacroma;X;Je trouve ça bizarre… Ca regaroupe des dinophysis, phalacroma et autres genres inconnus pour moi;6;07/11/2005;01/09/2008;100;100;150;NA
Dinophysis acuminata;Dinophysis;;404;21/05/1987;23/08/2016;0;827.89;46.53;0
Dinophysis sacculus;Dinophysis;;398;21/05/1987;22/09/1998;0;0;0;0
Diploneis;;;145;21/08/1989;18/11/2019;187.5;551.97;337.93;197.62
Diplopsalis;Diplopsalis + Diplopelta + Diplopsalopsis + Preperidinium + Oblea;;19;23/03/2009;24/10/2016;375.67;307.44;166.67;1067
